t,bat,h,yaw
1770328173.8009193,50.0,70.0,37.0
1770328173.8328335,50.0,70.0,37.0
1770328173.8478336,50.0,70.0,37.0
1770328173.87936,50.0,70.0,37.0
1770328173.8953555,50.0,70.0,37.0
1770328173.9257867,50.0,70.0,37.0
1770328173.940668,50.0,70.0,37.0
1770328173.9716203,50.0,70.0,38.0
1770328173.9865382,50.0,70.0,38.0
1770328174.0180104,50.0,70.0,38.0
1770328174.0331461,50.0,70.0,38.0
1770328174.0642946,50.0,70.0,36.0
1770328174.080309,50.0,70.0,36.0
1770328174.1108475,50.0,70.0,36.0
1770328174.1270869,50.0,70.0,36.0
1770328174.157621,50.0,70.0,36.0
1770328174.173277,50.0,70.0,33.0
1770328174.204465,50.0,70.0,33.0
1770328174.2200494,50.0,70.0,33.0
1770328174.2519636,50.0,70.0,33.0
1770328174.2673423,50.0,70.0,30.0
1770328174.2985375,50.0,70.0,30.0
1770328174.314133,50.0,70.0,30.0
1770328174.3449373,50.0,70.0,30.0
1770328174.360786,50.0,70.0,30.0
1770328174.3922088,50.0,70.0,27.0
1770328174.4070094,50.0,70.0,27.0
1770328174.4379818,50.0,70.0,27.0
1770328174.4537513,50.0,70.0,27.0
1770328174.4836338,50.0,70.0,24.0
1770328174.499042,50.0,70.0,24.0
1770328174.5303462,50.0,70.0,24.0
1770328174.5447786,50.0,70.0,24.0
1770328174.5749059,50.0,80.0,24.0
1770328174.59013,50.0,80.0,24.0
1770328174.620829,50.0,80.0,24.0
1770328174.6362998,50.0,80.0,24.0
1770328174.6679103,50.0,80.0,23.0
1770328174.683511,50.0,80.0,23.0
1770328174.714668,50.0,80.0,23.0
1770328174.7303662,50.0,80.0,23.0
1770328174.7618945,50.0,80.0,23.0
1770328174.7779477,50.0,80.0,23.0
1770328174.809683,50.0,80.0,23.0
1770328174.8247292,50.0,80.0,23.0
1770328174.8563771,50.0,80.0,23.0
1770328174.8718994,50.0,80.0,23.0
1770328174.9040275,50.0,80.0,23.0
1770328174.9198482,50.0,80.0,23.0
1770328174.950297,50.0,80.0,23.0
1770328174.9663022,50.0,80.0,23.0
1770328174.9971635,50.0,80.0,24.0
1770328175.0126429,50.0,80.0,24.0
1770328175.0425465,50.0,80.0,24.0
1770328175.0573006,50.0,80.0,24.0
1770328175.0886748,50.0,80.0,25.0
1770328175.103918,50.0,80.0,25.0
1770328175.1357915,50.0,80.0,25.0
1770328175.1509821,50.0,80.0,25.0
1770328175.1814497,50.0,80.0,27.0
1770328175.1970437,50.0,80.0,27.0
1770328175.2288225,50.0,80.0,27.0
1770328175.243865,50.0,80.0,27.0
1770328175.2755795,50.0,80.0,27.0
1770328175.2908156,50.0,90.0,28.0
1770328175.3226428,50.0,90.0,28.0
1770328175.3380556,50.0,90.0,30.0
1770328175.368656,50.0,90.0,30.0
1770328175.3841934,50.0,90.0,30.0
1770328175.416138,50.0,90.0,30.0
1770328175.431713,50.0,90.0,30.0
1770328175.4619155,50.0,90.0,30.0
1770328175.477987,50.0,90.0,30.0
1770328175.5078309,50.0,90.0,31.0
1770328175.5233877,50.0,90.0,31.0
1770328175.554446,50.0,90.0,31.0
1770328175.5703015,50.0,90.0,31.0
1770328175.601213,50.0,90.0,32.0
1770328175.6164374,50.0,90.0,32.0
1770328175.647552,50.0,90.0,32.0
1770328175.663015,50.0,90.0,32.0
1770328175.710492,50.0,90.0,32.0
1770328175.7261188,50.0,90.0,32.0
1770328175.7581975,50.0,90.0,32.0
1770328175.7727475,50.0,90.0,32.0
1770328175.804084,50.0,90.0,33.0
1770328175.8194907,50.0,90.0,33.0
1770328175.8507802,50.0,90.0,34.0
1770328175.8661447,50.0,90.0,34.0
1770328175.8968816,50.0,90.0,34.0
1770328175.9124956,50.0,90.0,34.0
1770328175.9446633,50.0,90.0,34.0
1770328175.9599621,50.0,100.0,34.0
1770328175.991351,50.0,100.0,34.0
1770328176.0068805,50.0,100.0,34.0
1770328176.0387135,50.0,100.0,34.0
1770328176.0536811,50.0,100.0,35.0
1770328176.0852969,50.0,100.0,35.0
1770328176.1019154,50.0,100.0,35.0
1770328176.1466496,50.0,100.0,35.0
