t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms_ran,assoc_ok,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1790262203.320667,304,0.0747978687286377,13.36936488963264,0.9973049163818359,39.88009999739006,,0,,0,0,no_face,0,0.004600002284860238,1,7.579199998872355,1,,0,0,32.257599999866216,1,search_360,0.01720000000204891,1
1790262203.3276484,305,0.006981372833251953,143.23830339457686,43.883562088012695,0.06710000161547214,,0,,0,0,no_face,0,0.00540000110049732,1,,0,,0,0,,0,search_360,0.015600002370774746,1
1790262203.4179037,306,0.0902552604675293,11.079686600203932,2.991914749145508,35.56100000059814,,0,,0,0,no_face,0,0.0042000028770416975,1,,0,,0,0,35.51379999771598,1,search_360,0.01669999983278103,1
1790262203.4238894,307,0.005985736846923828,167.06380944794074,12.967348098754883,0.043399999412940815,,0,,0,0,no_face,0,0.00419999923906289,1,,0,,0,0,,0,search_360,0.013299999409355223,1
1790262203.4887598,308,0.06487035751342773,15.415361319582779,1.9943714141845703,39.74150000067311,,0,,0,0,no_face,0,0.0040000013541430235,1,6.583899998076959,1,,0,0,32.942000001639826,1,search_360,0.015300000086426735,1
1790262203.4947445,309,0.005984783172607422,167.09043104135128,14.963388442993164,0.176199999259552,,0,,0,0,no_face,0,0.004400000761961564,1,,0,,0,0,,0,search_360,0.014099998224992305,1
1790262203.5688772,310,0.07413268089294434,13.489327351375689,0.9975433349609375,23.044200002914295,,0,,0,0,no_face,0,0.0034999975468963385,1,,0,,0,0,22.870400000101654,1,search_360,0.012300002708798274,1
1790262203.5788512,311,0.009974002838134766,100.26064923268154,0.9970664978027344,0.17579999985173345,,0,,0,0,no_face,0,0.004300000000512227,1,,0,,0,0,,0,search_360,0.014400000509340316,1
1790262203.6427114,312,0.06386017799377441,15.659210973346923,0.9977817535400391,29.794500002026325,,0,,0,0,no_face,0,0.005999998393235728,1,6.281199999648379,1,,0,0,23.25360000031651,1,search_360,0.022100000933278352,1
1790262203.6486957,313,0.005984306335449219,167.10374501992032,3.9899349212646484,0.5877000003238209,,0,,0,0,no_face,0,0.007799997547408566,1,,0,,0,0,,0,search_360,0.035300003219163045,1
1790262203.733086,314,0.08439040184020996,11.84968880576564,2.7954578399658203,21.667000000888947,,0,,0,0,no_face,0,0.0034000004234258085,1,,0,,0,0,21.480600000359118,1,search_360,0.012699998478638008,1
1790262203.7470508,315,0.013964653015136719,71.6093696646862,1.9984245300292969,0.19830000019283034,,0,,0,0,no_face,0,0.00419999923906289,1,,0,,0,0,,0,search_360,0.014000001101521775,1
1790262203.8044045,316,0.05735373497009277,17.435656117626028,0.9973049163818359,27.914300000702497,,0,,0,0,no_face,0,0.003999997716164216,1,6.098699999711243,1,,0,0,21.622399999614572,1,search_360,0.012500000593718141,1
